               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1017,            0.050272,            0.046206,            0.011152,            0.014684,           0.0025519,          0.00051308,            0.094249,            0.038718,            0.039956,           0.0033257,           0.0033257,            0.070068
                   1,            0.081907,            0.041652,            0.029589,              0.5798,              0.2663,             0.20337,            0.064199,            0.061321,            0.028406,            0.021738,           0.0065931,           0.0065931,            0.040003
                   2,            0.065986,            0.034711,             0.01632,              0.6003,             0.27401,             0.24088,             0.08586,            0.062666,            0.026186,             0.02306,           0.0097945,           0.0097945,           0.0098706
                   3,            0.056081,            0.030799,            0.010601,             0.80112,             0.49186,             0.54387,              0.2334,             0.04565,            0.021418,           0.0090937,            0.009703,            0.009703,            0.009703
                   4,            0.049232,             0.02924,           0.0074268,             0.72459,             0.61064,             0.66458,             0.30417,            0.042003,            0.020631,           0.0075948,            0.009703,            0.009703,            0.009703
                   5,            0.045689,            0.027612,            0.005606,             0.72439,             0.61409,              0.6414,             0.29966,            0.041967,            0.019894,           0.0059649,            0.009604,            0.009604,            0.009604
                   6,            0.043183,            0.026317,           0.0046802,             0.78601,             0.70529,              0.7604,             0.36823,              0.0396,            0.019174,           0.0071346,            0.009505,            0.009505,            0.009505
                   7,            0.041518,            0.025891,           0.0040871,             0.81407,             0.70238,             0.76831,             0.37144,            0.037155,            0.018622,           0.0045151,            0.009406,            0.009406,            0.009406
                   8,             0.04034,            0.025252,           0.0036254,             0.82933,             0.72678,               0.786,             0.39877,             0.03648,            0.017916,           0.0049245,            0.009307,            0.009307,            0.009307
                   9,            0.039234,            0.024756,           0.0033527,             0.81368,             0.70839,             0.79415,             0.40597,             0.03552,            0.017708,           0.0040849,            0.009208,            0.009208,            0.009208
                  10,            0.038256,            0.024353,           0.0031928,             0.80551,              0.7561,             0.79903,             0.40702,            0.035473,            0.017429,             0.00386,            0.009109,            0.009109,            0.009109
                  11,            0.037642,            0.024034,            0.002913,             0.88282,             0.71525,             0.81765,             0.42581,            0.035435,            0.017782,           0.0049218,             0.00901,             0.00901,             0.00901
                  12,            0.036565,             0.02328,           0.0027349,             0.82697,             0.77686,             0.82055,             0.44062,            0.033863,            0.016734,           0.0032358,            0.008911,            0.008911,            0.008911
                  13,            0.036038,            0.023177,           0.0027178,             0.84602,             0.78587,              0.8469,             0.46653,            0.034106,            0.016759,           0.0035338,            0.008812,            0.008812,            0.008812
                  14,             0.03565,            0.022925,           0.0025117,             0.85121,             0.79443,             0.84545,             0.47238,            0.032781,            0.016721,           0.0027673,            0.008713,            0.008713,            0.008713
                  15,            0.035036,            0.022554,           0.0022992,             0.88019,             0.76982,             0.84686,             0.46542,            0.033624,            0.016967,           0.0027899,            0.008614,            0.008614,            0.008614
                  16,            0.034467,            0.022441,            0.002297,             0.83894,             0.75276,             0.81166,              0.4457,            0.033095,            0.017023,           0.0040098,            0.008515,            0.008515,            0.008515
                  17,            0.034126,            0.022306,           0.0020841,             0.84155,             0.79692,             0.84164,             0.47424,            0.032714,            0.016707,           0.0029743,            0.008416,            0.008416,            0.008416
                  18,            0.033654,            0.021737,           0.0021052,             0.84159,             0.76879,             0.82619,             0.45176,            0.032593,            0.017122,           0.0026193,            0.008317,            0.008317,            0.008317
                  19,            0.033416,            0.021794,            0.002011,              0.8572,             0.80966,             0.85231,             0.48054,             0.03225,            0.016466,            0.003017,            0.008218,            0.008218,            0.008218
                  20,            0.033101,            0.021849,           0.0019228,             0.87049,             0.79857,             0.85352,             0.48275,            0.031943,            0.016358,           0.0025324,            0.008119,            0.008119,            0.008119
                  21,            0.032579,            0.021349,           0.0018867,             0.85311,             0.81773,             0.86288,             0.49567,            0.032338,            0.016579,           0.0031978,             0.00802,             0.00802,             0.00802
                  22,            0.032534,            0.021326,           0.0017907,             0.88462,             0.82286,              0.8814,             0.52426,            0.031321,            0.016055,           0.0022057,            0.007921,            0.007921,            0.007921
                  23,            0.031945,            0.021433,           0.0018057,             0.87594,             0.81315,              0.8681,             0.51454,            0.031474,            0.016412,           0.0026679,            0.007822,            0.007822,            0.007822
                  24,            0.031628,            0.020836,           0.0017488,              0.8746,             0.83269,             0.87215,             0.51161,            0.030781,            0.015957,           0.0021983,            0.007723,            0.007723,            0.007723
                  25,            0.031721,            0.021131,           0.0016896,             0.89321,             0.83163,             0.88845,             0.53121,            0.030237,            0.015628,           0.0020645,            0.007624,            0.007624,            0.007624
                  26,            0.031343,            0.020869,           0.0015578,             0.88106,             0.83649,             0.88608,             0.52818,            0.030587,            0.015507,           0.0024519,            0.007525,            0.007525,            0.007525
                  27,             0.03104,            0.020897,           0.0016128,              0.8819,              0.8362,             0.88033,             0.52216,            0.030489,            0.016044,           0.0019494,            0.007426,            0.007426,            0.007426
                  28,            0.030895,            0.020705,           0.0015395,             0.89246,             0.79621,             0.87516,             0.51706,            0.030554,            0.015963,            0.002155,            0.007327,            0.007327,            0.007327
                  29,            0.030531,            0.020456,           0.0015252,             0.88698,             0.81785,             0.88423,             0.52953,            0.030199,            0.015839,           0.0024376,            0.007228,            0.007228,            0.007228
                  30,            0.030321,            0.020409,           0.0015241,             0.91123,             0.81786,             0.89144,             0.53781,            0.029944,            0.015723,           0.0020534,            0.007129,            0.007129,            0.007129
                  31,            0.030323,            0.020144,           0.0015036,             0.90818,             0.83005,             0.88915,             0.54063,            0.030033,            0.015677,           0.0022709,             0.00703,             0.00703,             0.00703
                  32,            0.029839,            0.020136,           0.0014383,             0.88623,             0.81982,             0.87972,              0.5348,            0.029681,            0.015661,           0.0019957,            0.006931,            0.006931,            0.006931
                  33,            0.029661,            0.020029,           0.0013938,             0.89451,             0.84945,             0.88995,             0.53219,            0.029271,            0.015353,           0.0017297,            0.006832,            0.006832,            0.006832
                  34,            0.029673,            0.020038,           0.0013385,             0.88608,             0.82211,             0.87534,             0.52393,            0.029921,            0.016107,           0.0024193,            0.006733,            0.006733,            0.006733
                  35,            0.029456,            0.020006,           0.0013381,             0.89802,              0.8585,             0.90084,             0.55156,            0.029344,            0.015339,           0.0020629,            0.006634,            0.006634,            0.006634
                  36,            0.029238,            0.019696,           0.0013808,             0.90409,             0.85251,             0.89459,             0.54513,            0.029439,            0.015479,           0.0018099,            0.006535,            0.006535,            0.006535
                  37,            0.029081,            0.019732,           0.0014161,             0.88515,             0.84759,             0.89075,             0.55339,            0.029267,            0.015488,           0.0020125,            0.006436,            0.006436,            0.006436
                  38,            0.028955,            0.019692,           0.0013607,             0.89724,             0.85319,               0.899,             0.55609,            0.028904,            0.015341,           0.0026498,            0.006337,            0.006337,            0.006337
                  39,            0.028749,            0.019371,           0.0012367,             0.91835,              0.8381,             0.90063,              0.5594,            0.028769,            0.015148,           0.0019203,            0.006238,            0.006238,            0.006238
                  40,             0.02864,            0.019495,           0.0012644,             0.90406,             0.84719,             0.89026,             0.54926,            0.028737,            0.015441,           0.0016907,            0.006139,            0.006139,            0.006139
                  41,            0.028375,            0.019535,           0.0012325,             0.89359,             0.84878,             0.89326,             0.55316,            0.028831,            0.015207,           0.0016879,             0.00604,             0.00604,             0.00604
                  42,            0.028377,            0.019649,           0.0012355,             0.89843,             0.86552,             0.90468,             0.57051,            0.028684,            0.015014,           0.0017068,            0.005941,            0.005941,            0.005941
                  43,            0.028217,            0.019301,           0.0011782,             0.90077,               0.872,             0.90199,              0.5724,            0.028774,            0.015258,           0.0020492,            0.005842,            0.005842,            0.005842
                  44,            0.028165,            0.019368,           0.0012163,             0.89374,             0.86987,             0.90092,             0.56563,            0.028536,            0.015057,           0.0016563,            0.005743,            0.005743,            0.005743
                  45,            0.027723,            0.019038,           0.0011131,             0.92002,              0.8582,              0.9039,             0.57005,            0.028488,             0.01523,           0.0014964,            0.005644,            0.005644,            0.005644
                  46,            0.027775,            0.019121,           0.0012044,             0.91853,              0.8532,             0.89876,             0.56194,            0.028378,             0.01515,            0.001384,            0.005545,            0.005545,            0.005545
                  47,            0.027808,             0.01907,           0.0011285,             0.91472,             0.86189,             0.90482,             0.57231,            0.028168,            0.014978,           0.0014943,            0.005446,            0.005446,            0.005446
                  48,            0.027762,            0.019039,           0.0010485,              0.8925,              0.8729,             0.90381,              0.5685,            0.028088,            0.014826,           0.0013995,            0.005347,            0.005347,            0.005347
                  49,            0.027636,            0.018817,           0.0010864,             0.90345,             0.87526,             0.90968,             0.57423,            0.028054,            0.014881,           0.0017422,            0.005248,            0.005248,            0.005248
